Device_ID,Packet_Size (bytes),Latency (ms),Throughput (Mbps),Protocol_Type,Source_Port,Destination_Port,IP_Flag,Connection_Duration (ms),Packet_Count,Error_Rate,Fragmentation_Flag,Payload_Size (bytes),Session_Status,Attack_Type
Device_45,400,61.33,17.89,TCP,23214,204,SYN,9216.44,562,0.0305,0,905,Pending,MITM
Device_41,763,462.75,23.18,TCP,41247,26,FIN,9998.76,31,0.0537,0,447,Pending,R2L
Device_46,900,335.27,55.84,TCP,61528,513,None,6094.28,31,0.0343,0,336,Pending,R2L
Device_15,518,458.48,8.89,TCP,40468,578,SYN,9325.57,463,0.0081,0,1249,Established,Normal
Device_4,282,137.53,7.65,TCP,61206,669,RST,1618.19,806,0.0342,0,826,Failed,SQLi
Device_8,187,51.74,7.08,ICMP,24491,553,ACK,1850.72,100,0.0791,0,667,Established,Probe
Device_30,499,74.84,68.82,TCP,9608,628,RST,198.98,888,0.0374,1,1404,Failed,SQLi
Device_39,726,21.48,26.56,UDP,6706,579,FIN,3974.14,1,0.0084,0,807,Established,Normal
Device_41,775,259.35,69.23,UDP,46150,619,FIN,9522.77,639,0.0846,0,199,Failed,DDoS
Device_42,1174,378.04,34.56,UDP,13167,479,RST,6587.63,418,0.009,1,329,Established,Normal
Device_18,609,171.09,81.23,UDP,47448,748,RST,3723.86,639,0.0696,0,220,Failed,DDoS
Device_26,1135,425.79,70.61,UDP,26666,882,SYN,8837.14,533,0.0426,1,58,Failed,DoS
Device_46,346,28.22,88.33,UDP,54241,632,FIN,4697.21,568,0.0302,1,1115,Failed,U2R
Device_9,545,239.13,65.64,TCP,49629,91,SYN,4411.43,35,0.0467,0,761,Pending,R2L
Device_23,149,252.91,5.39,ICMP,34473,415,RST,8812.1,125,0.0185,1,671,Established,Probe
Device_36,451,320.53,97.95,TCP,28230,694,ACK,4916.29,814,0.0718,0,354,Failed,U2R
Device_4,476,252.32,9.61,UDP,22789,764,ACK,8393.78,531,0.0125,1,553,Pending,MITM
Device_25,449,81.0,16.42,TCP,8911,905,FIN,7921.94,736,0.012,0,1302,Failed,SQLi
Device_8,1000,28.48,75.26,ICMP,33840,707,SYN,5238.94,991,0.0997,0,1313,Failed,DDoS
Device_23,223,113.03,42.62,TCP,46329,482,FIN,5924.0,36,0.0559,0,1327,Pending,R2L
Device_7,162,278.44,79.17,TCP,56344,934,ACK,1586.66,401,0.0422,1,607,Failed,Phishing
Device_25,1458,234.15,9.32,TCP,54078,603,ACK,843.09,80,0.0278,1,901,Established,Probe
Device_35,150,477.28,84.56,TCP,25984,331,None,6364.71,640,0.0496,1,1063,Pending,Phishing
Device_7,1187,303.66,12.55,ICMP,59555,402,None,7189.55,54,0.0092,1,1493,Established,Normal
Device_42,158,455.23,82.01,TCP,44047,21,ACK,9753.31,479,0.0676,1,1005,Failed,DoS
Device_29,474,253.82,42.64,ICMP,3089,585,None,7849.78,501,0.0395,0,1210,Failed,U2R
Device_43,351,260.61,92.05,UDP,40863,877,None,5725.89,307,0.0306,0,1464,Pending,MITM
Device_47,641,20.84,20.99,TCP,31902,971,RST,3054.4,16,0.0562,0,916,Pending,R2L
Device_24,852,94.42,95.78,TCP,27693,876,RST,9001.98,575,0.0428,0,1121,Pending,MITM
Device_11,1202,284.06,6.87,ICMP,18802,126,SYN,8522.11,139,0.0195,1,351,Established,Probe
Device_8,852,276.67,95.25,TCP,57592,916,None,9057.42,926,0.0323,0,1468,Pending,MITM
Device_41,1070,281.92,77.88,ICMP,15623,25,ACK,2785.48,559,0.0891,0,1035,Failed,DoS
Device_28,350,4.35,36.06,TCP,39029,111,RST,1335.24,12,0.0452,1,864,Pending,R2L
Device_12,65,308.13,99.78,TCP,33246,614,None,1338.37,738,0.0284,0,76,Failed,Phishing
Device_6,417,163.71,49.02,UDP,8290,15,FIN,2162.63,965,0.0425,1,1027,Failed,U2R
Device_35,625,212.99,71.72,TCP,1558,362,SYN,2321.84,26,0.0243,1,969,Pending,R2L
Device_13,1154,417.13,9.87,UDP,268,1019,RST,1793.7,671,0.0445,0,1178,Pending,Spoofing
Device_27,598,51.91,75.98,TCP,16922,446,SYN,9272.34,779,0.0106,1,1326,Pending,MITM
Device_15,757,250.15,26.23,TCP,22,168,FIN,3538.12,4,0.0356,0,1316,Failed,Spoofing
Device_10,1003,170.69,29.49,UDP,31830,797,SYN,1745.06,887,0.0333,1,914,Pending,MITM
Device_16,1458,273.44,8.27,ICMP,61625,157,RST,1749.79,213,0.0184,0,892,Established,Normal
Device_20,997,271.45,1.94,TCP,7489,909,RST,2678.92,843,0.045,1,55,Pending,MITM
Device_46,651,307.82,78.75,TCP,508,928,FIN,8241.63,49,0.0536,1,384,Pending,Spoofing
Device_5,416,156.14,4.37,UDP,59679,907,ACK,1109.74,891,0.0362,0,768,Pending,MITM
Device_23,382,70.68,13.91,TCP,28245,442,ACK,1186.23,973,0.0398,1,534,Failed,U2R
Device_35,141,330.0,10.41,TCP,50036,722,FIN,6000.88,880,0.0367,1,1478,Failed,SQLi
Device_31,608,223.58,19.53,UDP,12023,123,None,3867.96,536,0.0312,0,143,Pending,MITM
Device_36,962,430.47,28.06,UDP,15971,777,ACK,2660.51,432,0.0435,0,1445,Failed,DoS
Device_25,1419,312.56,17.64,TCP,500,94,RST,9548.04,957,0.035,0,452,Pending,Spoofing
Device_38,204,108.0,7.14,ICMP,2051,1002,FIN,7077.42,317,0.0029,1,944,Established,Normal
Device_35,599,33.83,92.97,UDP,50144,776,RST,2183.2,620,0.0644,0,32,Pending,DDoS
Device_49,953,242.01,90.42,UDP,479,73,RST,7019.34,360,0.0374,1,693,Pending,Spoofing
Device_12,1017,113.7,5.52,TCP,62487,888,RST,570.39,190,0.0708,0,540,Established,Probe
Device_39,87,469.21,42.31,TCP,46841,673,FIN,3855.67,796,0.0755,1,41,Failed,DoS
Device_32,1290,379.93,82.52,TCP,36032,640,FIN,5414.31,423,0.0482,0,636,Failed,DoS
Device_9,1132,125.98,74.83,ICMP,30146,811,FIN,2759.54,620,0.071,1,734,Failed,DoS
Device_30,630,125.42,54.3,TCP,33034,323,RST,8933.12,42,0.0219,0,99,Pending,R2L
Device_41,442,274.02,9.17,TCP,62739,57,None,7415.11,717,0.0159,0,263,Pending,MITM
Device_14,1043,434.74,22.9,TCP,168,140,RST,4438.0,796,0.0544,0,47,Pending,Spoofing
Device_31,406,77.09,95.65,TCP,37992,442,FIN,1915.95,641,0.02,1,122,Pending,MITM
Device_20,939,377.29,27.02,UDP,57829,36,FIN,3857.46,327,0.0059,0,108,Established,Normal
Device_7,625,187.25,21.06,UDP,5153,424,RST,8259.89,336,0.01,1,731,Pending,MITM
Device_20,633,453.62,97.49,TCP,44719,4,FIN,5735.13,893,0.0546,1,1221,Failed,DDoS
Device_9,93,121.54,12.01,TCP,31719,372,FIN,5217.3,567,0.0411,0,891,Pending,Phishing
Device_17,667,182.31,92.33,UDP,61681,255,RST,9701.49,445,0.0699,1,282,Failed,DoS
Device_33,1120,332.05,59.89,TCP,32808,364,FIN,6074.47,22,0.0423,1,283,Pending,R2L
Device_48,652,152.45,94.46,TCP,23976,224,FIN,3194.31,185,0.0339,0,383,Pending,MITM
Device_46,333,188.28,37.35,TCP,64193,82,None,2277.82,794,0.067,0,1270,Failed,DoS
Device_14,525,429.55,3.33,ICMP,58132,1016,SYN,5027.2,113,0.0758,1,1263,Established,Probe
Device_35,106,24.59,73.02,UDP,21151,687,SYN,9514.1,851,0.0721,0,1175,Pending,DDoS
Device_30,1026,236.25,6.44,ICMP,4781,211,SYN,21.28,177,0.041,1,979,Established,Probe
Device_18,739,451.65,34.7,TCP,9632,1016,RST,5049.39,444,0.012,1,1136,Established,Normal
Device_30,550,400.25,16.99,UDP,28760,700,FIN,9928.23,140,0.0073,0,152,Established,Normal
Device_41,1424,240.37,83.02,TCP,2213,393,None,8226.94,12,0.0491,1,931,Pending,R2L
Device_35,916,253.64,97.68,TCP,30816,291,None,4520.27,676,0.0451,1,448,Pending,MITM
Device_4,410,159.97,57.93,TCP,26947,755,FIN,8054.55,6,0.0462,1,1039,Pending,R2L
Device_50,323,188.33,24.84,UDP,61939,646,FIN,8615.49,86,0.0314,1,38,Pending,MITM
Device_11,713,49.65,27.4,TCP,6270,864,SYN,2706.4,395,0.0032,1,1301,Established,Normal
Device_38,342,239.82,68.4,UDP,26393,369,SYN,9940.13,784,0.0139,1,1122,Pending,MITM
Device_7,1348,205.66,2.64,ICMP,63827,182,RST,7035.1,401,0.0853,0,404,Failed,DoS
Device_14,1357,367.19,41.56,UDP,700,600,FIN,5756.81,186,0.0679,0,1327,Failed,Spoofing
Device_16,636,246.53,80.6,ICMP,47157,34,None,3133.2,819,0.0865,1,964,Failed,DDoS
Device_22,85,351.96,6.47,TCP,64800,321,None,7187.34,133,0.0105,1,1036,Failed,Phishing
Device_49,949,333.11,27.72,ICMP,54905,482,FIN,3027.68,656,0.0499,0,262,Failed,DoS
Device_37,394,85.91,82.65,UDP,26443,650,RST,4883.59,390,0.0408,0,721,Pending,MITM
Device_11,170,57.86,17.36,TCP,704,442,FIN,3234.21,319,0.077,0,1365,Pending,Spoofing
Device_48,91,374.56,66.81,TCP,59052,976,None,9128.9,294,0.0414,1,1069,Pending,Phishing
Device_32,674,424.29,75.6,TCP,65390,619,ACK,4760.1,775,0.0706,0,1416,Failed,DDoS
Device_29,1310,358.68,88.13,UDP,454,250,RST,9342.31,904,0.0371,0,1315,Pending,Spoofing
Device_3,404,32.5,76.66,TCP,580,517,FIN,4076.61,495,0.0777,0,1209,Failed,Spoofing
Device_29,1230,312.39,96.13,ICMP,17,979,RST,6972.58,775,0.0739,0,336,Pending,Spoofing
Device_36,1488,59.66,5.75,TCP,43555,363,RST,1033.2,19,0.0823,0,136,Established,Probe
Device_33,545,266.85,31.67,TCP,49694,664,ACK,6435.44,662,0.0783,0,925,Failed,DoS
Device_37,383,194.21,73.85,UDP,50350,297,ACK,1973.49,499,0.0739,1,430,Failed,U2R
Device_24,217,68.25,2.97,ICMP,29606,264,None,2356.85,144,0.0932,1,116,Established,Probe
Device_28,424,76.4,80.9,TCP,6353,442,FIN,3218.66,228,0.0183,1,447,Pending,MITM
Device_9,111,157.05,77.89,TCP,22379,999,ACK,7574.87,22,0.0431,0,554,Pending,R2L
Device_38,337,428.76,25.72,TCP,19057,470,None,8293.97,418,0.0311,1,1381,Failed,SQLi
Device_23,984,104.51,47.26,TCP,18570,223,SYN,8791.91,34,0.0481,1,588,Pending,R2L
Device_40,795,273.91,3.06,TCP,24695,922,RST,5443.6,636,0.0534,0,1105,Failed,DoS
Device_44,80,81.42,46.64,TCP,15572,626,RST,2429.22,331,0.0161,1,258,Pending,Phishing
Device_3,252,148.32,41.61,TCP,10573,421,FIN,1694.59,30,0.0153,0,759,Established,Normal
Device_17,242,104.66,10.94,TCP,64658,70,FIN,2204.34,300,0.0476,0,977,Pending,Phishing
Device_21,247,429.39,24.65,TCP,667,154,FIN,7891.05,935,0.0265,0,163,Failed,Spoofing
Device_36,1170,351.55,8.97,TCP,41831,205,RST,8001.55,81,0.0025,0,372,Established,Probe
Device_43,367,159.55,45.45,TCP,4110,646,FIN,3939.74,21,0.0233,0,398,Pending,R2L
Device_32,1146,121.6,80.02,TCP,29985,747,SYN,1880.37,875,0.0796,0,254,Failed,DDoS
Device_31,279,106.41,44.16,ICMP,54877,161,SYN,2158.36,666,0.0754,0,1146,Failed,U2R
Device_6,99,261.43,65.19,TCP,30317,209,RST,1337.67,819,0.0117,1,1374,Pending,MITM
Device_22,367,441.56,4.07,TCP,30188,743,ACK,278.1,165,0.0185,0,1205,Established,Probe
Device_37,697,250.42,17.51,TCP,57866,768,ACK,6483.33,889,0.0341,0,27,Pending,MITM
Device_26,110,460.71,44.53,TCP,38453,1023,RST,8370.34,15,0.0017,0,303,Established,Normal
Device_46,594,190.16,34.09,TCP,17058,863,ACK,4576.94,861,0.0366,0,817,Pending,MITM
Device_6,112,56.54,71.91,TCP,62817,765,RST,8292.69,494,0.0447,0,792,Failed,Phishing
Device_16,267,179.89,45.2,UDP,15847,612,FIN,2021.66,713,0.059,0,278,Failed,U2R
Device_22,368,227.47,3.05,TCP,12193,122,FIN,8135.68,319,0.0443,1,11,Failed,U2R
Device_4,412,191.84,73.31,TCP,33837,465,ACK,120.7,604,0.023,1,1028,Failed,SQLi
Device_12,258,274.27,96.14,TCP,34522,119,RST,8968.21,479,0.0157,1,54,Failed,SQLi
Device_6,282,59.43,77.95,ICMP,910,829,RST,79.9,507,0.0551,1,56,Failed,Spoofing
Device_19,479,312.7,93.02,ICMP,771,728,FIN,6457.17,312,0.0715,0,424,Failed,Spoofing
Device_32,788,384.87,82.13,TCP,15090,678,FIN,6151.11,853,0.0679,1,1163,Pending,DDoS
Device_44,860,460.65,66.01,ICMP,27725,293,SYN,1842.94,437,0.0884,0,687,Failed,DoS
Device_14,1238,315.9,35.87,ICMP,21537,79,ACK,7705.8,615,0.0545,0,1093,Failed,DoS
Device_22,697,319.76,84.95,UDP,26,31,RST,5898.79,500,0.0747,0,1239,Failed,Spoofing
Device_21,230,215.26,4.73,TCP,1583,26,None,4655.89,284,0.0151,1,1186,Pending,Phishing
Device_22,1418,64.91,54.8,ICMP,35812,490,SYN,3245.23,520,0.0696,0,741,Failed,DDoS
Device_45,508,260.76,85.16,TCP,34182,670,ACK,911.41,207,0.0324,1,8,Failed,U2R
Device_12,216,321.79,83.82,TCP,24016,346,ACK,5578.72,807,0.0267,0,174,Pending,Phishing
Device_13,330,308.04,60.95,TCP,8180,469,SYN,7580.44,723,0.015,1,1431,Failed,SQLi
Device_26,1286,301.91,67.39,TCP,20742,530,ACK,676.48,683,0.0984,0,1318,Pending,DDoS
Device_11,1248,120.55,67.31,TCP,52123,831,SYN,1255.51,508,0.064,0,516,Pending,DDoS
Device_18,345,121.28,57.37,TCP,15886,387,RST,1654.56,825,0.0355,1,329,Failed,SQLi
Device_30,180,287.31,98.67,TCP,1575,286,SYN,2487.62,239,0.0466,1,485,Failed,Phishing
Device_50,744,130.53,3.39,UDP,142,909,FIN,1112.99,990,0.0715,1,921,Pending,Spoofing
Device_7,732,405.46,7.03,TCP,10338,533,SYN,8062.02,41,0.0416,0,271,Pending,R2L
Device_17,1239,173.91,76.4,ICMP,38232,603,None,86.92,816,0.0749,1,1187,Failed,DDoS
Device_10,1384,354.12,22.43,TCP,3785,848,RST,5289.97,7,0.0564,1,1148,Pending,R2L
Device_31,871,87.42,2.58,TCP,6955,982,SYN,972.29,132,0.0777,0,461,Established,Probe
